current_resource,target_exit,DPP,Latency,mAP
1950000000,1,4.284899999999972,4.512820512820513e-08,68
1930000000,1,4.284899999999972,4.5595854922279794e-08,67
2000000000,1,0.1448999999999856,4.4e-08,65
1930000000,1,-12.275099999999973,4.5595854922279794e-08,71
1970000000,1,0.1448999999999856,4.467005076142132e-08,61
1950000000,1,-28.83509999999992,4.512820512820513e-08,60
2000000000,1,-61.95509999999981,4.4e-08,61
1960000000,1,-90.93509999999972,4.489795918367347e-08,76
1990000000,1,-57.81509999999982,4.422110552763819e-08,77
1950000000,1,-20.555099999999946,4.512820512820513e-08,62
1900000000,1,-45.395099999999864,4.631578947368421e-08,66
1940000000,1,-53.67509999999984,4.536082474226804e-08,80
1960000000,1,-3.9951000000000008,4.489795918367347e-08,64
1920000000,1,-20.555099999999946,4.5833333333333333e-08,79
1900000000,1,4.284899999999972,4.631578947368421e-08,73
1920000000,1,4.284899999999972,4.5833333333333333e-08,76
1990000000,1,4.284899999999972,4.422110552763819e-08,62
1900000000,1,-20.555099999999946,4.631578947368421e-08,77
1920000000,1,4.284899999999972,4.5833333333333333e-08,64
1980000000,1,-12.275099999999973,4.444444444444445e-08,72
1940000000,1,4.284899999999972,4.536082474226804e-08,75
1910000000,1,4.284899999999972,4.607329842931937e-08,77
1990000000,1,4.284899999999972,4.422110552763819e-08,80
1930000000,1,4.284899999999972,4.5595854922279794e-08,71
1920000000,1,4.284899999999972,4.5833333333333333e-08,65
1950000000,1,-8.135099999999987,4.512820512820513e-08,62
1900000000,1,-32.975099999999905,4.631578947368421e-08,75
1930000000,1,-3.9951000000000008,4.5595854922279794e-08,64
1970000000,1,-20.555099999999946,4.467005076142132e-08,79
1930000000,1,4.284899999999972,4.5595854922279794e-08,72
1910000000,1,4.284899999999972,4.607329842931937e-08,67
